acronym,cutting_plane,Section_Data_ID,URL,entrez.id,homologous_human_ID
0610005G16Rik*,sagittal,74357755,http://api.brain-map.org/grid_data/download/74357755?include=energy,NA,NA
0610005I03Rik*,sagittal,74357749,http://api.brain-map.org/grid_data/download/74357749?include=energy,NA,NA
0610006F12Rik*,sagittal,81600592,http://api.brain-map.org/grid_data/download/81600592?include=energy,NA,NA
0610006F12Rik*,sagittal,74357761,http://api.brain-map.org/grid_data/download/74357761?include=energy,NA,NA
0610007C21Rik,sagittal,69113518,http://api.brain-map.org/grid_data/download/69113518?include=energy,381629,51374
0610007L01Rik,sagittal,67787332,http://api.brain-map.org/grid_data/download/67787332?include=energy,71667,55069
0610007P08Rik,sagittal,68523288,http://api.brain-map.org/grid_data/download/68523288?include=energy,76251,375748
0610007P14Rik,coronal,70927828,http://api.brain-map.org/grid_data/download/70927828?include=energy,58520,11161
0610007P14Rik,sagittal,413781,http://api.brain-map.org/grid_data/download/413781?include=energy,58520,11161
0610007P22Rik,sagittal,68546094,http://api.brain-map.org/grid_data/download/68546094?include=energy,68327,115939
0610008A24Rik*,sagittal,74357767,http://api.brain-map.org/grid_data/download/74357767?include=energy,NA,NA
0610008A24Rik*,sagittal,81600594,http://api.brain-map.org/grid_data/download/81600594?include=energy,NA,NA
0610008F07Rik,sagittal,68441532,http://api.brain-map.org/grid_data/download/68441532?include=energy,68314,NA
0610009B22Rik,sagittal,71763939,http://api.brain-map.org/grid_data/download/71763939?include=energy,66050,NA
0610009D07Rik,sagittal,68342153,http://api.brain-map.org/grid_data/download/68342153?include=energy,66055,51639
0610009I12Rik*,sagittal,74357773,http://api.brain-map.org/grid_data/download/74357773?include=energy,NA,NA
0610009L18Rik,sagittal,74300825,http://api.brain-map.org/grid_data/download/74300825?include=energy,66838,NA
0610009O20Rik,sagittal,69080037,http://api.brain-map.org/grid_data/download/69080037?include=energy,66839,9812
0610009O20Rik,sagittal,74359443,http://api.brain-map.org/grid_data/download/74359443?include=energy,66839,9812
0610010F05Rik,coronal,74957923,http://api.brain-map.org/grid_data/download/74957923?include=energy,71675,84542
0610010F05Rik,sagittal,70200836,http://api.brain-map.org/grid_data/download/70200836?include=energy,71675,84542
0610010K14Rik,sagittal,69134379,http://api.brain-map.org/grid_data/download/69134379?include=energy,104457,124944
0610010O12Rik,coronal,75079788,http://api.brain-map.org/grid_data/download/75079788?include=energy,66060,NA
0610010O12Rik,sagittal,69133830,http://api.brain-map.org/grid_data/download/69133830?include=energy,66060,NA
0610011F06Rik,sagittal,74581002,http://api.brain-map.org/grid_data/download/74581002?include=energy,68347,84326
0610011L14Rik,sagittal,601189,http://api.brain-map.org/grid_data/download/601189?include=energy,68295,25980
0610012G03Rik,sagittal,70429100,http://api.brain-map.org/grid_data/download/70429100?include=energy,106264,NA
0610012H03Rik,sagittal,69028635,http://api.brain-map.org/grid_data/download/69028635?include=energy,74088,NA
0610025J13Rik,sagittal,72081715,http://api.brain-map.org/grid_data/download/72081715?include=energy,78687,NA
0610030E20Rik,sagittal,69352782,http://api.brain-map.org/grid_data/download/69352782?include=energy,68364,388969
0610031J06Rik,sagittal,68342348,http://api.brain-map.org/grid_data/download/68342348?include=energy,56700,112770
0610037L13Rik,sagittal,556980,http://api.brain-map.org/grid_data/download/556980?include=energy,74098,54987
0610037P05Rik,sagittal,68193049,http://api.brain-map.org/grid_data/download/68193049?include=energy,66086,123811
0610040B10Rik,sagittal,69352802,http://api.brain-map.org/grid_data/download/69352802?include=energy,67672,NA
0610040J01Rik,sagittal,69079986,http://api.brain-map.org/grid_data/download/69079986?include=energy,76261,55286
0910001L09Rik,sagittal,69352814,http://api.brain-map.org/grid_data/download/69352814?include=energy,66096,389541
1010001N08Rik,sagittal,70200842,http://api.brain-map.org/grid_data/download/70200842?include=energy,68434,NA
1100001G20Rik,sagittal,74427075,http://api.brain-map.org/grid_data/download/74427075?include=energy,66107,NA
1110001J03Rik,sagittal,69116566,http://api.brain-map.org/grid_data/download/69116566?include=energy,66117,154791
1110002B05Rik,sagittal,74003413,http://api.brain-map.org/grid_data/download/74003413?include=energy,104725,171546
